"","Compound","RT","Type","Filename","Status","Area"
"169","LPC (20:4)_1","3.12","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",1714762
"170","LPC (20:4)_2","3.39","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",42485099
"171","LPC (20:4)_3","3.6","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",5386059
"172","LPC (20:5)_1","2.68","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",407818790
"173","LPC (20:5)_2","2.89","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",86145858
"174","LPC (20:5)_3","3.39","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",22726875
"175","LPC (21:5)_1","3.12","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",2572490
"176","LPC (22:4)_1","4.45","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",1503635
"177","LPC (22:4)_4.35","4.35","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",NA
"178","LPC (22:5)_1","3.64","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",97278038
"179","LPC (22:5)_2","3.85","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",16918033
"180","LPC (22:5)_3","4.04","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",10501476
"181","LPC (22:6)_1","3.27","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",1271286692
"182","LPC (22:6)_2","3.47","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",337665127
"183","LPE (20:4)_3.44","3.44","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",892240
"184","LPE (20:4)_3.51","3.51","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",1274196
"185","LPE (20:4)_3.71","3.71","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",319120
"186","LPE (20:5)_2.79","2.79","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",NA
"187","LPE (20:5)_2.97","2.97","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",NA
"188","LPE (20:6)_3.39","3.39","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",891860
"189","LPE (20:6)_3.60","3.6","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",1274196
"190","LPS (18:0)","4.76","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",155613
"191","LPS (22:6)","2.64","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",1970790
"192","PC (32:0)","12.72,12.72","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",23064044
"193","PC (32:1-16:1_16:0ev18:4_14:0)","11.98","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",173763879
"194","PC (34:1-18:1_16:0)","12.95","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",1826666946
"195","PC (34:2-18:2_16:0)","12.15","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",501024163
"196","PC (34:3-18:2_16:1ev18:3_16:0)","11.49","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",316092164
"197","PC (36:0)_nurExactMass","15.07","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",110298
"198","PC (36:1-18:1_18:0)","14.1","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",60716836
"199","PC (36:2-18:2_18:0ev18:1_18:1)","13.16","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",388225780
"200","PC (36:3-18:2_18:1)","12.33,12.33","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",276047148
"201","PC (36:3-20:3_16:0ev18:2_18:1)","12.47","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",NA
"202","PC (36:4-18:2_18:2)","11.72","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",NA
"203","PC (36:4-20:4_16:0)","12.07","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",171502985
"204","PC (36:5-20:5_16:0)","11.46","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",NA
"205","PC (36:6-22:6_14:0)","10.95,10.95","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",618048
"206","PC (38:4-18:0_20:4)","13.19","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",120581
"207","PC (38:5-20:4_18:1)","12.38","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",48208543
"208","PC (38:5-22:5_16:0)_12.07","12.07","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",48870365
"209","PC (38:5-22:5_16:0)_12.45","12.45","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",47886331
"210","PC (38:6-22:6_16:0)","11.79,11.79","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",3499582
"211","PC (38:7-22:6_16:1)","11.13,11.13","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",31414211
"212","PC (40:6-22:6_18:0)","12.80,12.80","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",79897
"213","PC (40:7-22:6_18:1)","11.95,11.95","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",1378114989
"214","PC (40:8-22:6_18:2)","11.38,11.38","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",NA
"215","PC (40:9-22:6_18:3)","10.65,10.65","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",49424457
"216","PC (42:10-22:6_20:4)","10.98,10.98","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",91686078
"217","PC (44:12-22:6_22:6)_10.93","10.93,10.93","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",109760753
"218","PC (44:12-22:6_22:6)_11.70","11.70,11.70","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",NA
"219","PE (34:1-18:1_16:0)","13.26","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",5175646
"220","PE (34:2-18:2_16:0)","12.41","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",4139504
"221","PE (36:1-18:1_18:0)","14.45","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",1295155
"222","PE (36:2-18:1_18:1)","13.48","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",10727660
"223","PE (36:2-18:2_18:0)","13.51","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",10753505
"224","PE (36:3-18:2_18:1)","12.62","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",12312621
"225","PE (36:4-20:4_16:0)","12.33","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",6753866
"226","PE (38:3-20:3_18:0)","13.82","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",216106
"227","PE (38:4-20:4_18:0)","13.38","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",1985275
"228","PE (38:5-20:4_18:1ev20:5_18:0)","12.57","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",10411250
"229","PE (38:5-22:5_16:0)","12.31","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",37173417
"230","PE (38:6-20:5_18:1ev20:4_18:2)","11.82","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",65971161
"231","PE (38:6-22:6_16:0)","12.03","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",459151401
"232","PE (40:5-22:5_18:0)","13.33","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",3726875
"233","PE (40:6-22:5_18:1)","12.48","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",12118152
"234","PI (36:1-18:1_18:0)","12.66","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",NA
"235","PI (36:2-18:2_18:0)","12.03","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",2260947
"236","PI (38:4-18:0_20:4)","11.98","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",375248
"237","PI (38:5-18:0_20:5)","11.4","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",35551555
"238","P-PC (32:0)_nurExactMass","12.25","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",NA
"239","P-PC (34:0)","13.71","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",NA
"240","P-PE (34:1-P16:0_18:1)","13.96","Target Compound","190729_fleisch_fisch_probe6_1_pos","Processed",18055455
